objectid,filename,Pager Identifier,Page number,Stope Book Name,Stope Book number,Volume number,Sill number,subject,Level & Floor,title,description,map_type,county,location,latitude,longitude,geomethod,datum,date,creator,identifier,scanned,optimized,map_width_inches,map_length_inches,relations_defined,relations_defined_staff,map_scale,township,range,section,format
214,214.jpg,1947,25,BADGER STATE - SOUTH,S-29,1,1-6,CORRA,CORRA 300-18,CORRA 300-18,ELEVATION: 6167',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
215,215.jpg,1948,26,BADGER STATE - SOUTH,S-29,1,1-6,CORRA,CORRA 300-17,CORRA 300-17,ELEVATION: 6160',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
216,216.jpg,1949,27,BADGER STATE - SOUTH,S-29,1,1-6,CORRA,CORRA 300-16,CORRA 300-16,ELEVATION: 6152',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
217,217.jpg,1950,28,BADGER STATE - SOUTH,S-29,1,1-6,CORRA,CORRA 300-15,CORRA 300-15,ELEVATION: 6145',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
218,218.jpg,1951,29,BADGER STATE - SOUTH,S-29,1,1-6,CORRA,CORRA 300-14,CORRA 300-14,ELEVATION: 6137',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
219,219.jpg,1952,30,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-12; CORRA 300-13,BADGER STATE 200-12; CORRA 300-13,ELEVATION: 6130',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
220,220.jpg,1953,31,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-11; CORRA 300-12,BADGER STATE 200-11; CORRA 300-12,ELEVATION: 6123',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
221,221.jpg,1954,32,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-10; CORRA 300-11,BADGER STATE 200-10; CORRA 300-11,ELEVATION: 6115',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
222,222.jpg,1955,33,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-9; CORRA 300-10,BADGER STATE 200-9; CORRA 300-10,ELEVATION: 6108',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
223,223.jpg,1956,34,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-8; CORRA 300-9,BADGER STATE 200-8; CORRA 300-9,ELEVATION: 6100',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
224,224.jpg,1957,35,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-7; CORRA 300-8,BADGER STATE 200-7; CORRA 300-8,ELEVATION: 6093',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
225,225.jpg,1958,36,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-6; CORRA 300-7,BADGER STATE 200-6; CORRA 300-7,ELEVATION: 6085',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
226,226.jpg,1959,37,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-5; CORRA 300-6,BADGER STATE 200-5; CORRA 300-6,ELEVATION: 6078',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
227,227.jpg,1960,38,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-4; CORRA 300-5,BADGER STATE 200-4; CORRA 300-5,ELEVATION: 6070',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
228,228.jpg,1961,39,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; WILD BILL,BADGER STATE 200-3; CORRA 300-4; WILD BILL 200 SILL,BADGER STATE 200-3; CORRA 300-4; WILD BILL 200 SILL,ELEVATION: 6063',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
229,229.jpg,1962,40,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-2; CORRA 300-3,BADGER STATE 200-2; CORRA 300-3,ELEVATION: 6055',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
230,230.jpg,1963,41,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200-1; CORRA 300-2,BADGER STATE 200-1; CORRA 300-2,ELEVATION: 6048',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
231,231.jpg,1964,42,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 200 SILL; CORRA 300-1,BADGER STATE 200 SILL; CORRA 300-1,ELEVATION: 6041' CORRA; 6043.' BADGER STATE; 6043.40' AT THE BADGER STATE 200 SILL; SHOWS CLAIM LINES,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1897,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
232,232.jpg,1965,43,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-13; BADGER STATE 500-41; CORRA 300 SILL,BADGER STATE 300-13; BADGER STATE 500-41; CORRA 300 SILL,ELEVATION: 6033' CORRA; 6036' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
233,233.jpg,1966,44,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-12; BADGER STATE 500-40; CORRA 400-9,BADGER STATE 300-12; BADGER STATE 500-40; CORRA 400-9,ELEVATION: 6025' CORRA; 6028' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
234,234.jpg,1967,45,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-11; BADGER STATE 500-39; CORRA 400-8,BADGER STATE 300-11; BADGER STATE 500-39; CORRA 400-8,ELEVATION: 6018' CORRA; 6021' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
235,235.jpg,1968,46,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-10; BADGER STATE 500-38; CORRA 400-7,BADGER STATE 300-10; BADGER STATE 500-38; CORRA 400-7,ELEVATION: 6010' CORRA; 6014' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
236,236.jpg,1969,47,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-9; BADGER STATE 500-37; CORRA 400-6,BADGER STATE 300-9; BADGER STATE 500-37; CORRA 400-6,ELEVATION: 6003' CORRA; 6006' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
237,237.jpg,1970,48,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-8; BADGER STATE 500-36; CORRA 400-5,BADGER STATE 300-8; BADGER STATE 500-36; CORRA 400-5,ELEVATION: 5995' CORRA; 5999' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
238,238.jpg,1971,49,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-7; BADGER STATE 500-35; CORRA 400-4,BADGER STATE 300-7; BADGER STATE 500-35; CORRA 400-4,ELEVATION: 5988' CORRA; 5992' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
239,239.jpg,1972,50,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-6; BADGER STATE 500-34; CORRA 400-3,BADGER STATE 300-6; BADGER STATE 500-34; CORRA 400-3,ELEVATION: 5980' CORRA; 5985' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
240,240.jpg,1973,51,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-5; BADGER STATE 500-33; CORRA 400-2,BADGER STATE 300-5; BADGER STATE 500-33; CORRA 400-2,ELEVATION: 5972' CORRA; 5977' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
241,241.jpg,1974,52,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-4; BADGER STATE 500-32; CORRA 400-1,BADGER STATE 300-4; BADGER STATE 500-32; CORRA 400-1,ELEVATION: 5965' CORRA; 5970' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
242,242.jpg,1975,53,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-3; BADGER STATE 500-31; CORRA 400 SILL,BADGER STATE 300-3; BADGER STATE 500-31; CORRA 400 SILL,ELEVATION: 5958' CORRA; 5962' BADGER STATE; 5958.00' AT THE CORRA NO. 2 SHAFT,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
243,243.jpg,1976,54,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-2; BADGER STATE 500-30; CORRA 500-31,BADGER STATE 300-2; BADGER STATE 500-30; CORRA 500-31,ELEVATION: 5951' CORRA; 5955' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
244,244.jpg,1977,55,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300-1; BADGER STATE 500-29; CORRA 500-30,BADGER STATE 300-1; BADGER STATE 500-29; CORRA 500-30,ELEVATION: 5944' CORRA; 5948' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
245,245.jpg,1978,56,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 300 SILL; BADGER STATE 500-28; CORRA 500-29,BADGER STATE 300 SILL; BADGER STATE 500-28; CORRA 500-29,ELEVATION: 5937' CORRA; 5941' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
246,246.jpg,1979,57,BADGER STATE - SOUTH,S-29,1,1-6,ALICE - LEXINGTON TUNNEL; BADGER STATE; CORRA; LEXINGTON,ALICE - LEXINGTON TUNNEL 350-1; BADGER STATE 400-13; CORRA 500-28; LEXINGTON 500-22,BADGER STATE 400-13; CORRA 500-28; LEXINGTON 500-22,ELEVATION: 5929' CORRA; 5933' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1957,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
247,247.jpg,1980,58,BADGER STATE - SOUTH,S-29,1,1-6,ALICE - LEXINGTON TUNNEL; BADGER STATE; CORRA; LEXINGTON,ALICE - LEXINGTON TUNNEL 350 SILL; BADGER STATE 400-12; CORRA 500-27; LEXINGTON 500-21,BADGER STATE 400-12; CORRA 500-27; LEXINGTON 500-21,ELEVATION: 5922' CORRA; 5926' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1957,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
248,248.jpg,1981,59,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400-11; CORRA 500-26; LEXINGTON 500-20,BADGER STATE 400-11; CORRA 500-26; LEXINGTON 500-20,ELEVATION: 5915' CORRA; 5919' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
249,249.jpg,1982,60,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400-10; CORRA 500-25; LEXINGTON 500-19,BADGER STATE 400-10; CORRA 500-25; LEXINGTON 500-19,ELEVATION: 5908' CORRA; 5912' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
250,250.jpg,1983,61,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400-9; CORRA 500-24; LEXINGTON 500-18,BADGER STATE 400-9; CORRA 500-24; LEXINGTON 500-18,ELEVATION: 5901' CORRA; 5904' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
251,251.jpg,1984,62,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 400-8; CORRA 500-23,BADGER STATE 400-8; CORRA 500-23,ELEVATION: 5894' CORRA; 5897' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
252,252.jpg,1985,63,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 400-7; CORRA 500-22,BADGER STATE 400-7; CORRA 500-22,ELEVATION: 5887' CORRA; 5889' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
253,253.jpg,1986,64,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 400-6; CORRA 500-21,BADGER STATE 400-6; CORRA 500-21,ELEVATION: 5880' CORRA; 5883' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
254,254.jpg,1987,65,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 400-5; CORRA 500-20,BADGER STATE 400-5; CORRA 500-20,ELEVATION: 5872' CORRA; 5875' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
255,255.jpg,1988,66,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 400-4; CORRA 500-19,BADGER STATE 400-4; CORRA 500-19,ELEVATION: 5865' CORRA; 5868' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
256,256.jpg,1989,67,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400-3; CORRA 500-18; LEXINGTON 500-12,BADGER STATE 400-3; CORRA 500-18; LEXINGTON 500-12,ELEVATION: 5859' CORRA; 5861' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
257,257.jpg,1990,68,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400-2; BADGER STATE 500-16; CORRA 500-17; LEXINGTON 500-11,BADGER STATE 400-2; BADGER STATE 500-16; CORRA 500-17; LEXINGTON 500-11,ELEVATION: 5851' CORRA; 5853' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
258,258.jpg,1991,69,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400-1; BADGER STATE 500-15; CORRA 500-16; LEXINGTON 500-10,BADGER STATE 400-1; BADGER STATE 500-15; CORRA 500-16; LEXINGTON 500-10,ELEVATION: 5844' CORRA; 5846' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
259,259.jpg,1992,70,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 400 SILL; BADGER STATE 500-14; CORRA 500-14; LEXINGTON 500-9,BADGER STATE 400 SILL; BADGER STATE 500-14; CORRA 500-14; LEXINGTON 500-9,ELEVATION: 5837' CORRA; 5839' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
260,260.jpg,1993,71,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-13; CORRA 500-13; LEXINGTON 500-8,BADGER STATE 500-13; CORRA 500-13; LEXINGTON 500-8,ELEVATION: 5830' CORRA; 5832' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
261,261.jpg,1994,72,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-12; CORRA 500-13; LEXINGTON 500-7,BADGER STATE 500-12; CORRA 500-13; LEXINGTON 500-7,ELEVATION: 5823' CORRA; 5824' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
262,262.jpg,1995,73,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-11; CORRA 500-12; LEXINGTON 500-6,BADGER STATE 500-11; CORRA 500-12; LEXINGTON 500-6,ELEVATION: 5815' CORRA; 5817' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
263,263.jpg,1996,74,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-10; CORRA 500-11; LEXINGTON 500-5,BADGER STATE 500-10; CORRA 500-11; LEXINGTON 500-5,ELEVATION: 5808' CORRA; 5809' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
264,264.jpg,1997,75,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-9; CORRA 500-10; LEXINGTON 500-4,BADGER STATE 500-9; CORRA 500-10; LEXINGTON 500-4,ELEVATION: 5801' CORRA; 5802' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
265,265.jpg,1998,76,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-8; CORRA 500-9; LEXINGTON 500-3,BADGER STATE 500-8; CORRA 500-9; LEXINGTON 500-3,ELEVATION: 5794' CORRA; 5795' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
266,266.jpg,1999,77,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-7; CORRA 500-8; LEXINGTON 500-2,BADGER STATE 500-7; CORRA 500-8; LEXINGTON 500-2,ELEVATION: 5787' CORRA; 5788' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
267,267.jpg,2000,78,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-6; CORRA 500-7; LEXINGTON 500-1,BADGER STATE 500-6; CORRA 500-7; LEXINGTON 500-1,ELEVATION: 5780',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
268,268.jpg,2001,79,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA; LEXINGTON,BADGER STATE 500-5; CORRA 500-6; LEXINGTON 500 SILL,BADGER STATE 500-5; CORRA 500-6; LEXINGTON 500 SILL,ELEVATION: 5773',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,1/1/1956,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
269,269.jpg,2002,80,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 500-4; CORRA 500-5,BADGER STATE 500-4; CORRA 500-5,ELEVATION: 5766',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
270,270.jpg,2003,81,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 500-3; CORRA 500-4,BADGER STATE 500-3; CORRA 500-4,ELEVATION: 5758' CORRA; 5759' BADGER STATE,Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
271,271.jpg,2004,82,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 500-2; CORRA 500-3,BADGER STATE 500-2; CORRA 500-3,ELEVATION: 5751',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
272,272.jpg,2005,83,BADGER STATE - SOUTH,S-29,1,1-6,BADGER STATE; CORRA,BADGER STATE 500-1; CORRA 500-2,BADGER STATE 500-1; CORRA 500-2,ELEVATION: 5744',Underground Workings,Silver Bow,Butte*,46.028901,-112.523975,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,07W,7,image;jpg
